City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
264,Sur,OM,2023-07-28 21:35:09,22.5667,59.5289,87.35,65,90,7.9
265,Cascais,PT,2023-07-28 21:33:24,38.6979,-9.4215,74.12,81,20,14.0
266,Mhamid,MA,2023-07-28 21:35:09,29.82,-5.72,99.66,9,2,9.22
267,Fortuna,US,2023-07-28 21:35:09,40.5982,-124.1573,69.93,71,0,14.97
268,Port Isabel,US,2023-07-28 21:35:10,26.0734,-97.2086,91.47,54,0,16.11
269,Vilyuysk,RU,2023-07-28 21:35:10,63.7553,121.6247,62.76,59,0,4.25
270,Weno,FM,2023-07-28 21:35:10,7.4515,151.8468,78.75,94,100,6.91
271,New Kingman-Butler,US,2023-07-28 21:35:10,35.265,-114.0323,107.83,11,0,23.02
272,Mahoba,IN,2023-07-28 21:35:10,25.2833,79.8667,84.81,72,100,11.27
273,Northam,GB,2023-07-28 21:35:10,51.0333,-4.2167,61.66,92,100,13.24
274,Ornskoldsvik,SE,2023-07-28 21:35:11,63.2909,18.7153,56.35,100,100,4.61
275,Esik,KZ,2023-07-28 21:35:11,43.3552,77.4525,62.02,59,1,6.31
276,Talakan,RU,2023-07-28 21:35:11,50.3167,130.3667,68.79,91,81,5.35
277,Atar,MR,2023-07-28 21:35:11,20.5169,-13.0499,101.17,14,82,4.41
278,Tchintabaraden,NE,2023-07-28 21:35:11,15.8969,5.7985,95.61,31,66,6.04
279,Axim,GH,2023-07-28 21:35:11,4.8699,-2.2405,76.05,89,100,8.05
280,Makoua,CG,2023-07-28 21:35:12,0.0069,15.6333,76.44,70,34,3.62
281,Asau,RO,2023-07-28 21:35:12,46.4333,26.4,65.32,70,34,6.04
282,Iskateley,RU,2023-07-28 21:35:12,67.6803,53.1512,51.15,93,17,3.69
283,Kangal,TR,2023-07-28 21:35:12,39.2335,37.3911,55.02,81,0,4.16
284,Luohe,CN,2023-07-28 21:35:13,33.5717,114.0353,76.53,97,99,8.43
285,Suwayr,SA,2023-07-28 21:35:13,30.1171,40.3893,90.54,8,0,15.41
286,Ascension,US,2023-07-28 21:35:13,30.2169,-90.9001,98.28,43,0,4.61
287,Larache,MA,2023-07-28 21:34:34,35.1932,-6.1557,71.94,81,0,7.4
